CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CUSR0000SA0E,,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"Energy in U.S. city average, all urban consumers, seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,Energy,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,1957 to 2020,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1957,21.3,21.4,21.5,21.6,21.6,21.6,21.5,21.4,21.4,21.4,21.5,21.5,,
1958,21.6,21.3,21.4,21.4,21.5,21.5,21.6,21.7,21.7,21.7,21.4,21.4,,
1959,21.4,21.6,21.7,21.8,21.8,21.9,21.8,21.9,21.9,22.2,22.2,22.3,,
1960,22.3,22.2,22.3,22.4,22.3,22.4,22.5,22.5,22.6,22.5,22.7,22.6,,
1961,22.7,22.6,22.6,22.2,22.4,22.5,22.5,22.5,22.6,22.4,22.5,22.4,,
1962,22.4,22.6,22.4,22.7,22.7,22.5,22.3,22.4,22.8,22.7,22.7,22.8,,
1963,22.8,22.7,22.7,22.6,22.6,22.5,22.7,22.6,22.5,22.7,22.6,22.6,,
1964,22.8,22.2,22.6,22.5,22.5,22.6,22.5,22.6,22.5,22.5,22.5,22.6,,
1965,22.8,22.7,22.6,22.9,23.0,23.1,23.0,23.0,23.1,23.0,23.1,23.1,,
1966,23.1,23.2,23.2,23.2,23.2,23.3,23.4,23.3,23.4,23.4,23.5,23.5,,
1967,23.6,23.7,23.6,23.9,23.9,23.8,23.8,23.9,24.0,23.9,24.0,23.9,,
1968,24.0,24.1,24.1,24.0,24.1,24.2,24.2,24.3,24.3,24.3,24.4,24.3,,
1969,24.4,24.4,24.7,24.9,24.8,25.0,24.9,24.9,25.0,25.0,25.0,25.1,,
1970,25.1,25.1,25.0,25.5,25.4,25.3,25.5,25.4,25.6,25.9,26.0,26.2,,
1971,26.3,26.2,26.2,26.1,26.2,26.3,26.3,26.8,26.9,27.0,26.9,27.0,,
1972,27.0,26.8,26.9,26.9,27.0,27.0,27.1,27.3,27.6,27.7,27.9,27.8,,
1973,27.9,28.2,28.3,28.6,28.8,29.2,29.2,29.4,29.4,30.3,31.5,32.5,,
1974,34.1,35.4,36.9,37.6,38.3,38.6,38.9,39.2,39.3,39.2,39.4,39.6,,
1975,40.0,40.3,40.6,41.0,41.3,41.7,42.5,42.8,43.2,43.5,43.9,44.1,,
1976,44.5,44.4,44.1,43.9,44.1,44.4,44.8,45.2,45.7,46.1,46.8,47.5,,
1977,48.1,48.1,48.4,48.6,48.9,48.9,49.1,49.5,49.8,50.5,51.3,51.6,,
1978,51.1,50.6,51.0,51.4,51.7,51.9,52.1,52.6,53.2,54.1,54.9,55.9,,
1979,55.8,55.9,57.4,59.5,62.0,64.7,67.3,69.7,71.9,73.5,74.8,76.8,,
1980,79.1,81.9,84.5,85.4,86.4,86.5,86.7,87.2,87.5,88.0,88.8,90.7,,
1981,92.1,95.2,97.4,97.6,97.9,97.3,97.3,97.8,98.6,99.2,100.5,101.5,,
1982,100.6,98.0,96.6,94.2,95.7,98.4,99.3,99.8,100.3,101.7,102.5,102.8,,
1983,99.6,97.7,96.8,98.9,100.4,100.6,100.9,101.2,101.0,100.8,100.5,100.0,,
1984,100.2,101.4,101.4,101.7,101.6,100.8,100.5,100.1,100.6,101.1,100.8,100.1,,
1985,100.3,100.3,101.3,102.3,102.2,102.2,102.2,101.2,101.2,101.2,101.8,102.4,,
1986,102.6,99.5,92.6,87.2,87.2,88.8,85.6,83.6,84.4,82.8,82.1,82.5,,
1987,85.4,87.4,87.6,87.6,87.1,88.5,89.2,90.5,90.3,89.6,90.0,89.5,,
1988,88.8,88.7,88.4,88.8,88.5,88.9,89.4,90.1,89.8,89.8,89.8,89.6,,
1989,90.3,90.8,91.8,96.6,97.4,96.9,96.7,94.9,93.8,94.4,93.9,94.2,,
1990,98.9,98.2,97.6,97.5,96.7,97.3,97.1,101.6,106.5,110.8,111.2,111.0,,
1991,108.5,104.5,101.9,101.2,102.1,101.1,100.7,101.1,101.5,101.6,102.4,103.1,,
1992,101.5,101.2,101.2,101.4,102.0,103.3,103.7,103.5,103.6,104.3,105.1,105.3,,
1993,105.0,104.3,104.9,104.9,104.3,103.9,103.4,103.4,103.0,105.3,104.4,103.7,,
1994,102.8,104.1,104.3,103.7,102.8,103.1,104.5,106.7,106.1,105.7,106.1,105.9,,
1995,105.7,105.8,105.5,105.6,105.8,106.7,105.8,105.6,104.1,104.4,103.4,104.4,,
1996,106.9,107.1,108.3,111.2,112.0,110.3,110.1,109.7,109.8,110.5,111.8,113.9,,
1997,115.2,115.0,113.0,111.0,108.8,110.0,109.1,110.9,112.4,111.8,111.4,109.8,,
1998,107.5,105.1,103.3,102.4,103.2,103.6,103.3,102.1,101.3,101.5,101.1,100.1,,
1999,99.7,99.2,100.4,105.5,104.9,104.5,106.7,109.5,111.8,112.0,111.5,113.8,,
2000,115.0,118.8,124.3,120.9,120.0,126.8,127.3,123.8,129.2,129.6,129.2,130.1,,
2001,135.0,134.1,131.7,132.3,138.4,136.9,129.6,127.3,130.9,122.9,116.9,113.9,,
2002,114.2,113.5,117.6,121.5,121.9,121.6,122.4,123.1,123.7,126.9,126.7,127.1,,
