Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU02300000,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Employment-Population Ratio,,,,,,,,,,,
Labor force status:,Employment-population ratio,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,54.9,55.0,55.1,55.9,56.1,58.0,58.1,57.8,57.4,57.4,57.0,56.6
1949,54.6,54.4,54.8,54.9,55.5,56.0,55.9,56.2,56.0,55.6,56.1,55.2
1950,53.7,53.7,54.1,55.1,55.9,57.1,56.9,57.9,57.2,57.8,57.5,56.6
1951,55.5,55.5,56.7,56.6,57.6,57.8,58.3,58.5,57.8,58.2,57.7,57.5
1952,56.2,56.1,56.2,56.5,57.4,58.0,57.7,57.8,58.0,57.8,58.1,57.4
1953,56.4,56.5,57.0,56.9,57.1,58.1,58.1,58.1,57.4,57.6,57.0,55.6
1954,54.4,54.7,54.7,55.1,55.5,55.9,55.9,56.1,56.2,56.3,56.0,55.1
1955,54.4,54.4,54.8,55.6,56.4,57.0,57.8,58.1,57.9,58.3,57.9,57.4
1956,56.2,55.9,56.2,56.9,57.8,58.3,58.5,58.6,58.3,58.4,57.7,57.0
1957,55.5,56.0,56.5,56.7,57.3,58.1,58.5,57.8,57.5,57.8,56.8,56.3
1958,54.4,54.1,54.3,54.8,55.6,56.0,56.1,56.2,55.9,56.5,55.9,55.3
1959,54.2,54.1,54.9,55.9,56.5,57.2,57.3,57.0,56.6,56.9,56.0,56.0
1960,54.4,54.7,54.4,56.0,56.7,57.4,57.3,57.1,56.9,56.6,56.3,55.3
1961,54.0,54.0,54.7,54.8,55.5,56.5,56.3,56.3,55.4,56.0,55.7,55.0
1962,53.8,54.3,54.8,55.1,56.0,56.6,56.5,56.6,56.0,56.1,55.4,54.9
1963,53.7,53.9,54.4,55.1,55.7,56.3,56.5,56.3,55.8,56.1,55.6,55.0
1964,53.8,54.3,54.7,55.6,56.3,56.6,56.9,56.7,55.9,56.1,55.8,55.4
1965,54.3,54.6,55.1,55.7,56.4,57.1,57.7,57.4,56.3,56.8,56.5,56.4
1966,55.2,55.4,55.7,56.4,56.8,57.8,58.3,58.2,57.1,57.4,57.5,57.2
1967,56.0,56.2,56.2,56.8,56.9,58.1,58.7,58.5,57.2,57.6,57.5,57.5
1968,55.9,56.5,56.7,57.1,57.6,58.6,58.9,58.5,57.3,57.6,57.6,57.6
