Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU03000000,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,2351,2807,2646,2407,2014,2408,2411,2238,2061,1747,2033,2205
1949,2995,3474,3383,3277,3516,3966,4388,3956,3635,3788,3570,3690
1950,4648,4791,4313,3665,3263,3551,3316,2613,2490,2055,2356,2409
1951,2649,2538,2323,1938,1770,2132,2072,1806,1886,1754,1990,1796
1952,2258,2340,2002,1836,1782,2032,2085,1918,1728,1480,1594,1545
1953,2132,1964,1828,1764,1536,1732,1710,1512,1619,1572,2017,2634
1954,3561,3983,4037,3846,3658,3681,3679,3470,3433,2929,3115,3009
1955,3669,3569,3297,3162,2690,2893,2662,2536,2338,2284,2536,2601
1956,3066,3092,3095,2710,2799,3179,2984,2467,2273,2091,2599,2660
1957,3206,3085,2822,2627,2635,3131,2843,2526,2503,2465,3127,3332
1958,4464,5116,5155,5064,4832,5223,5098,4607,4058,3750,3785,4068
1959,4678,4698,4298,3558,3327,3780,3605,3347,3195,3231,3636,3521
1960,4119,3886,4164,3607,3380,4172,3884,3711,3315,3537,3967,4470
1961,5335,5654,5423,4887,4671,5313,4961,4440,4034,3863,3941,4041
1962,4621,4481,4323,3863,3592,4219,3829,3842,3455,3234,3726,3760
1963,4627,4870,4442,3993,3949,4554,4140,3755,3470,3394,3858,3788
1964,4518,4461,4225,3831,3528,4453,3675,3551,3262,3198,3318,3409
1965,3942,4172,3699,3492,3214,4057,3429,3165,2842,2709,2888,2786
1966,3244,3109,2990,2730,2793,3592,3050,2821,2503,2465,2579,2655
1967,3159,3184,2954,2664,2458,3628,3249,2942,2895,2952,2903,2720
1968,3074,3287,2929,2491,2304,3615,3217,2772,2607,2510,2576,2418
1969,2875,2923,2747,2542,2300,3399,3182,2870,2958,2840,2711,2627
1970,3406,3794,3732,3552,3385,4671,4514,4226,4300,4269,4618,4650
1971,5429,5458,5190,4712,4415,5511,5354,5086,4867,4599,4846,4728
1972,5481,5446,5250,4732,4382,5467,5216,4901,4705,4518,4317,4169
1973,4730,4898,4564,4227,3855,4907,4613,4273,4230,3830,4127,4130
1974,5081,5212,4826,4372,4219,5459,5341,4967,5287,5131,5775,6199
1975,8272,8399,8446,7908,7715,8667,8311,7799,7624,7350,7341,7307
1976,8286,8143,7631,6996,6415,7772,7697,7443,7148,6958,7224,7154
1977,7980,8237,7680,6692,6280,7589,7081,6897,6579,6365,6495,6031
1978,7048,6886,6621,5826,5605,6481,6597,6090,5958,5624,5797,5896
1979,6602,6649,6325,5720,5419,6409,6282,6315,5978,5964,5964,6027
1980,7234,7177,6983,7023,7501,8481,8603,8202,7655,7674,7682,7430
1981,8746,8614,8271,7561,7731,8485,8130,7947,7884,8216,8676,9013
1982,10183,10378,10290,9957,9957,10886,11036,10710,10695,10942,11476,11628
1983,12517,12382,11879,11035,10765,11570,10707,10411,9830,9383,9129,8992
1984,9755,9407,9057,8525,8154,8582,8714,8382,8051,7989,7869,7978
1985,9131,8902,8625,8150,8011,8753,8682,8051,7984,7917,7815,7717
1986,8472,9041,8667,8115,8158,8775,8471,7955,8015,7842,7872,7461
1987,8620,8503,8124,7306,7318,7655,7453,7088,6857,6845,6802,6526
1988,7603,7482,7090,6359,6553,6819,6823,6659,6368,6182,6325,6142
1989,7309,6883,6378,6229,6156,6850,6736,6352,6330,6222,6495,6300
1990,7413,7296,6852,6620,6533,6884,7137,7008,7003,6892,7396,7525
1991,8787,9121,8995,8226,8435,8992,8792,8439,8270,8232,8494,8755
1992,10186,10401,9913,9135,9389,10366,10099,9605,9316,8813,9086,9045
1993,10158,10004,9478,8835,8807,9473,9223,8655,8302,8296,8094,7959
1994,9492,9262,8874,8078,7656,8251,8281,7868,7379,7155,6973,6690
1995,8101,7685,7480,7378,7185,7727,7892,7457,7167,6884,7024,6872
1996,8270,7858,7700,7124,7166,7377,7693,6868,6700,6577,6816,6680
1997,7933,7647,7399,6551,6398,7094,6981,6594,6403,5995,5914,5957
1998,7069,6804,6816,5643,5764,6534,6567,6173,6039,5831,5711,5565
1999,6604,6563,6119,5688,5507,6271,6319,5826,5661,5372,5380,5245
2000,6316,6284,6069,5212,5460,5959,6028,5863,5359,5153,5336,5264
2001,6647,6523,6509,6004,5901,6816,6858,7017,6766,7175,7617,7773
2002,9051,8823,8776,8255,7969,8758,8693,8271,7790,7769,8170,8209
2003,9395,9260,9018,8501,8500,9649,9319,8830,8436,8169,8269,7945
2004,9144,8770,8834,7837,7792,8616,8518,7940,7545,7531,7665,7599
2005,8444,8549,7986,7335,7287,7870,7839,7327,7259,6964,7271,6956
2006,7608,7692,7255,6804,6655,7341,7602,7086,6625,6272,6576,6491
2007,7649,7400,6913,6532,6486,7295,7556,7088,6952,6773,6917,7371
2008,8221,7953,8027,7287,8076,8933,9433,9479,9199,9469,10015,10999
2009,13009,13699,13895,13248,13973,15095,15201,14823,14538,14547,14407,14740
2010,16147,15991,15678,14609,14369,14885,15137,14759,14140,13903,14282,13997
2011,14937,14542,14060,13237,13421,14409,14428,14008,13520,13102,12613,12692
2012,13541,13430,12904,11910,12271,13184,13400,12696,11742,11741,11404,11844
2013,13181,12500,11815,11014,11302,12248,12083,11462,10885,10773,10271,9984
2014,10855,10893,10537,9079,9443,9893,10307,9787,8962,8680,8630,8331
2015,9498,9095,8682,7966,8370,8638,8805,8162,7628,7597,7573,7542
2016,8309,8219,8116,7413,7207,8144,8267,7996,7658,7447,7066,7170
2017,8149,7887,7284,6555,6572,7250,7441,7287,6556,6242,6286,6278
2018,7189,7091,6671,5932,5756,6812,6730,6370,5766,5771,5650,6029
2019,7140,6625,6382,5387,5503,6292,6556,6203,5465,5510,5441,5503
2020,6504,6218,7370,22504,,,,,,,,
