Date,Open,High,Low,Close,Adj Close,Volume
2001-05-01,8.277000,8.277000,8.277000,8.277000,8.277000,0
2001-06-01,8.277700,8.287900,8.266700,8.276700,8.276700,0
2001-07-01,8.276700,8.287300,8.266700,8.277000,8.277000,0
2001-08-01,8.277000,8.287300,8.266700,8.276900,8.276900,0
2001-09-01,8.276900,8.316900,8.236700,8.276800,8.276800,0
2001-10-01,8.276800,8.316900,8.236900,8.276800,8.276800,0
2001-11-01,8.276900,8.296500,8.256500,8.277400,8.277400,0
2001-12-01,8.277200,8.287400,8.266600,8.276700,8.276700,0
2002-01-01,8.276700,8.286800,8.266500,8.276500,8.276500,0
2002-02-01,8.276560,8.287000,8.266500,8.276500,8.276500,0
2002-03-01,8.276600,8.287500,8.266500,8.277400,8.277400,0
2002-04-01,8.277400,8.287500,8.266900,8.277300,8.277300,0
2002-05-01,8.277300,8.287600,8.266500,8.276500,8.276500,0
2002-06-01,8.276500,8.297000,8.255000,8.277100,8.277100,0
2002-07-01,8.277100,8.287100,8.266600,8.276700,8.276700,0
2002-08-01,8.276700,8.286900,8.266600,8.276800,8.276800,0
2002-09-01,8.276800,8.290000,8.256900,8.266900,8.266900,0
2002-10-01,8.277400,8.287400,8.266800,8.277000,8.277000,0
2002-11-01,8.277200,8.287400,8.267100,8.277200,8.277200,0
2002-12-01,8.277100,8.297100,8.257100,8.277000,8.277000,0
2003-01-01,8.277000,8.290000,8.266600,8.276900,8.276900,0
2003-02-01,8.280000,8.300000,8.260000,8.277500,8.277500,0
2003-03-01,8.277300,8.287600,8.267000,8.277400,8.277400,0
2003-04-01,8.277300,8.287600,8.266900,8.277100,8.277100,0
2003-05-01,8.277100,8.287200,8.266800,8.276800,8.276800,0
2003-06-01,8.276800,8.297000,8.257000,8.277500,8.277500,0
2003-07-01,8.277400,8.287700,8.266800,8.277300,8.277300,0
2003-08-01,8.277200,8.287900,8.266600,8.277100,8.277100,0
2003-09-01,8.277000,8.307100,8.247100,8.277000,8.277000,0
2003-10-01,8.277000,8.297100,8.257100,8.276600,8.276600,0
2003-11-01,8.276600,8.306900,8.246900,8.277000,8.277000,0
2003-12-01,8.267000,8.286900,8.257200,8.276700,8.276700,0
2004-01-01,8.276700,8.286700,8.256800,8.266800,8.266800,0
2004-02-01,8.266800,8.267300,8.257300,8.266900,8.266900,0
2004-03-01,8.266900,8.267600,8.256700,8.267000,8.267000,0
2004-04-01,8.267000,8.286900,8.246900,8.267100,8.267100,0
2004-05-01,8.267100,8.277200,8.237100,8.276900,8.276900,0
2004-06-01,8.266800,8.286700,8.236700,8.266600,8.266600,0
2004-07-01,8.266600,8.266900,8.246600,8.266900,8.266900,0
2004-08-01,8.266900,8.267000,8.236900,8.266600,8.266600,0
2004-09-01,8.266600,8.266800,8.256600,8.266600,8.266600,0
2004-10-01,8.266600,8.286500,8.236800,8.266500,8.266500,0
2004-11-01,8.266500,8.266500,8.236500,8.266500,8.266500,0
2004-12-01,8.266500,8.286500,8.246500,8.266500,8.266500,0
2005-01-01,8.266500,8.266500,8.266500,8.266500,8.266500,0
2005-02-01,8.266500,8.266500,8.256500,8.266500,8.266500,0
2005-03-01,8.266500,8.286500,8.266500,8.266500,8.266500,0
2005-04-01,8.266500,8.266500,8.266500,8.266500,8.266500,0
2005-05-01,8.266500,8.286500,8.266500,8.266500,8.266500,0
2005-06-01,8.266500,8.266500,8.266500,8.266500,8.266500,0
2005-07-01,8.266500,8.266600,8.095600,8.095600,8.095600,0
2005-08-01,8.095600,8.099000,8.085400,8.089800,8.089800,0
2005-09-01,8.089800,8.100800,8.070800,8.076800,8.076800,0
2005-10-01,8.076800,8.082200,8.066400,8.073200,8.073200,0
2005-11-01,8.082100,8.085300,8.065400,8.075600,8.075600,0
2005-12-01,8.076400,8.079000,8.059400,8.068200,8.068200,0
2006-01-01,8.068200,8.069300,8.025500,8.062000,8.062000,0
2006-02-01,8.062000,8.062000,8.030100,8.037900,8.037900,0
2006-03-01,8.037900,8.050000,8.011200,8.007500,8.007500,0
