"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","Q","1962-Q2",1.073782,
"OECD","QGDP","TOT","PC_CHGPP","Q","1962-Q3",1.381769,
"OECD","QGDP","TOT","PC_CHGPP","Q","1962-Q4",0.703461,
"OECD","QGDP","TOT","PC_CHGPP","Q","1963-Q1",0.365375,
"OECD","QGDP","TOT","PC_CHGPP","Q","1963-Q2",2.369696,
"OECD","QGDP","TOT","PC_CHGPP","Q","1963-Q3",2.231312,
"OECD","QGDP","TOT","PC_CHGPP","Q","1963-Q4",1.299,
"OECD","QGDP","TOT","PC_CHGPP","Q","1964-Q1",1.822418,
"OECD","QGDP","TOT","PC_CHGPP","Q","1964-Q2",1.226848,
"OECD","QGDP","TOT","PC_CHGPP","Q","1964-Q3",1.223742,
"OECD","QGDP","TOT","PC_CHGPP","Q","1964-Q4",0.813357,
"OECD","QGDP","TOT","PC_CHGPP","Q","1965-Q1",1.630103,
"OECD","QGDP","TOT","PC_CHGPP","Q","1965-Q2",1.182202,
"OECD","QGDP","TOT","PC_CHGPP","Q","1965-Q3",1.575507,
"OECD","QGDP","TOT","PC_CHGPP","Q","1965-Q4",1.697619,
"OECD","QGDP","TOT","PC_CHGPP","Q","1966-Q1",1.658004,
"OECD","QGDP","TOT","PC_CHGPP","Q","1966-Q2",1.261944,
"OECD","QGDP","TOT","PC_CHGPP","Q","1966-Q3",1.021125,
"OECD","QGDP","TOT","PC_CHGPP","Q","1966-Q4",0.623451,
"OECD","QGDP","TOT","PC_CHGPP","Q","1967-Q1",1.098901,
"OECD","QGDP","TOT","PC_CHGPP","Q","1967-Q2",0.7594,
"OECD","QGDP","TOT","PC_CHGPP","Q","1967-Q3",1.321918,
"OECD","QGDP","TOT","PC_CHGPP","Q","1967-Q4",1.029979,
"OECD","QGDP","TOT","PC_CHGPP","Q","1968-Q1",1.883264,
"OECD","QGDP","TOT","PC_CHGPP","Q","1968-Q2",1.144343,
"OECD","QGDP","TOT","PC_CHGPP","Q","1968-Q3",2.005758,
"OECD","QGDP","TOT","PC_CHGPP","Q","1968-Q4",1.554652,
"OECD","QGDP","TOT","PC_CHGPP","Q","1969-Q1",1.314859,
"OECD","QGDP","TOT","PC_CHGPP","Q","1969-Q2",1.171314,
"OECD","QGDP","TOT","PC_CHGPP","Q","1969-Q3",1.30374,
"OECD","QGDP","TOT","PC_CHGPP","Q","1969-Q4",0.690553,
"OECD","QGDP","TOT","PC_CHGPP","Q","1970-Q1",0.826307,
"OECD","QGDP","TOT","PC_CHGPP","Q","1970-Q2",1.197688,
"OECD","QGDP","TOT","PC_CHGPP","Q","1970-Q3",1.355721,
"OECD","QGDP","TOT","PC_CHGPP","Q","1970-Q4",0.071131,
"OECD","QGDP","TOT","PC_CHGPP","Q","1971-Q1",0.892633,
"OECD","QGDP","TOT","PC_CHGPP","Q","1971-Q2",1.216337,
"OECD","QGDP","TOT","PC_CHGPP","Q","1971-Q3",1.338581,
"OECD","QGDP","TOT","PC_CHGPP","Q","1971-Q4",0.527805,
"OECD","QGDP","TOT","PC_CHGPP","Q","1972-Q1",1.533927,
"OECD","QGDP","TOT","PC_CHGPP","Q","1972-Q2",1.799046,
"OECD","QGDP","TOT","PC_CHGPP","Q","1972-Q3",1.28153,
"OECD","QGDP","TOT","PC_CHGPP","Q","1972-Q4",1.753812,
"OECD","QGDP","TOT","PC_CHGPP","Q","1973-Q1",2.328314,
"OECD","QGDP","TOT","PC_CHGPP","Q","1973-Q2",1.102475,
"OECD","QGDP","TOT","PC_CHGPP","Q","1973-Q3",0.366555,
"OECD","QGDP","TOT","PC_CHGPP","Q","1973-Q4",1.135914,
"OECD","QGDP","TOT","PC_CHGPP","Q","1974-Q1",-0.427212,
"OECD","QGDP","TOT","PC_CHGPP","Q","1974-Q2",0.46476,
"OECD","QGDP","TOT","PC_CHGPP","Q","1974-Q3",0.019562,
"OECD","QGDP","TOT","PC_CHGPP","Q","1974-Q4",-0.611065,
"OECD","QGDP","TOT","PC_CHGPP","Q","1975-Q1",-0.524489,
"OECD","QGDP","TOT","PC_CHGPP","Q","1975-Q2",0.531447,
"OECD","QGDP","TOT","PC_CHGPP","Q","1975-Q3",1.101524,
"OECD","QGDP","TOT","PC_CHGPP","Q","1975-Q4",1.372408,
"OECD","QGDP","TOT","PC_CHGPP","Q","1976-Q1",1.638148,
"OECD","QGDP","TOT","PC_CHGPP","Q","1976-Q2",1.025616,
"OECD","QGDP","TOT","PC_CHGPP","Q","1976-Q3",0.883532,
"OECD","QGDP","TOT","PC_CHGPP","Q","1976-Q4",0.950986,
"OECD","QGDP","TOT","PC_CHGPP","Q","1977-Q1",0.907386,
