DATE,A794RX0Q048SBEA
1947-01-01,8907.0
1947-04-01,9014.0
1947-07-01,9002.0
1947-10-01,8964.0
1948-01-01,8972.0
1948-04-01,9040.0
1948-07-01,9015.0
1948-10-01,9044.0
1949-01-01,9020.0
1949-04-01,9121.0
1949-07-01,9103.0
1949-10-01,9194.0
1950-01-01,9309.0
1950-04-01,9429.0
1950-07-01,9871.0
1950-10-01,9530.0
1951-01-01,9720.0
1951-04-01,9408.0
1951-07-01,9474.0
1951-10-01,9484.0
1952-01-01,9468.0
1952-04-01,9616.0
1952-07-01,9620.0
1952-10-01,9914.0
1953-01-01,9993.0
1953-04-01,10016.0
1953-07-01,9947.0
1953-10-01,9834.0
1954-01-01,9828.0
1954-04-01,9916.0
1954-07-01,10004.0
1954-10-01,10164.0
1955-01-01,10349.0
1955-04-01,10505.0
1955-07-01,10587.0
1955-10-01,10668.0
1956-01-01,10641.0
1956-04-01,10633.0
1956-07-01,10608.0
1956-10-01,10700.0
1957-01-01,10727.0
1957-04-01,10702.0
1957-07-01,10738.0
1957-10-01,10694.0
1958-01-01,10506.0
1958-04-01,10553.0
1958-07-01,10681.0
1958-10-01,10777.0
1959-01-01,10927.0
1959-04-01,11053.0
1959-07-01,11121.0
1959-10-01,11085.0
1960-01-01,11125.0
1960-04-01,11198.0
1960-07-01,11098.0
1960-10-01,11068.0
1961-01-01,11027.0
1961-04-01,11148.0
1961-07-01,11156.0
1961-10-01,11331.0
1962-01-01,11411.0
1962-04-01,11511.0
1962-07-01,11558.0
1962-10-01,11675.0
1963-01-01,11718.0
1963-04-01,11791.0
1963-07-01,11905.0
1963-10-01,11958.0
1964-01-01,12155.0
1964-04-01,12331.0
1964-07-01,12513.0
1964-10-01,12504.0
1965-01-01,12748.0
1965-04-01,12854.0
1965-07-01,13031.0
1965-10-01,13354.0
1966-01-01,13518.0
1966-04-01,13517.0
1966-07-01,13629.0
1966-10-01,13644.0
1967-01-01,13689.0
1967-04-01,13842.0
1967-07-01,13874.0
1967-10-01,13920.0
1968-01-01,14223.0
1968-04-01,14407.0
1968-07-01,14637.0
1968-10-01,14664.0
1969-01-01,14796.0
1969-04-01,14857.0
1969-07-01,14888.0
1969-10-01,14963.0
1970-01-01,15019.0
1970-04-01,15040.0
1970-07-01,15120.0
1970-10-01,15027.0
1971-01-01,15269.0
1971-04-01,15364.0
1971-07-01,15439.0
1971-10-01,15647.0
1972-01-01,15816.0
1972-04-01,16079.0
1972-07-01,16284.0
1972-10-01,16623.0
1973-01-01,16890.0
1973-04-01,16844.0
1973-07-01,16862.0
1973-10-01,16771.0
1974-01-01,16586.0
1974-04-01,16611.0
1974-07-01,16639.0
1974-10-01,16354.0
1975-01-01,16458.0
1975-04-01,16688.0
1975-07-01,16876.0
1975-10-01,17013.0
1976-01-01,17316.0
1976-04-01,17438.0
1976-07-01,17577.0
1976-10-01,17758.0
1977-01-01,17925.0
1977-04-01,17979.0
1977-07-01,18098.0
1977-10-01,18318.0
1978-01-01,18378.0
1978-04-01,18724.0
1978-07-01,18747.0
1978-10-01,18844.0
1979-01-01,18893.0
1979-04-01,18832.0
1979-07-01,18957.0
1979-10-01,18946.0
1980-01-01,18866.0
1980-04-01,18389.0
1980-07-01,18535.0
1980-10-01,18735.0
1981-01-01,18760.0
1981-04-01,18719.0
1981-07-01,18754.0
1981-10-01,18577.0
1982-01-01,18674.0
1982-04-01,18690.0
1982-07-01,18767.0
1982-10-01,19049.0
1983-01-01,19198.0
1983-04-01,19549.0
1983-07-01,19850.0
1983-10-01,20120.0
1984-01-01,20248.0
1984-04-01,20490.0
1984-07-01,20592.0
1984-10-01,20808.0
1985-01-01,21122.0
1985-04-01,21271.0
1985-07-01,21619.0
1985-10-01,21612.0
1986-01-01,21758.0
1986-04-01,21949.0
1986-07-01,22282.0
1986-10-01,22365.0
1987-01-01,22344.0
1987-04-01,22601.0
1987-07-01,22802.0
1987-10-01,22794.0
1988-01-01,23151.0
1988-04-01,23273.0
1988-07-01,23419.0
1988-10-01,23626.0
1989-01-01,23688.0
1989-04-01,23745.0
1989-07-01,23909.0
1989-10-01,23948.0
1990-01-01,24095.0
