DATE,GFDEGDQ188S,GFDEBTN
1/1/1966,40.33999,320999
4/1/1966,39.26763,316097
7/1/1966,39.62091,324748
10/1/1966,39.51977,329319
1/1/1967,39.20383,330947
4/1/1967,38.03292,322893
7/1/1967,38.82145,335896
10/1/1967,39.10231,344663
1/1/1968,38.42951,349473
4/1/1968,36.96379,345369
7/1/1968,37.30897,354743
10/1/1968,36.98532,358029
1/1/1969,36.19577,359546
4/1/1969,34.97403,352895
7/1/1969,35.01946,360685
10/1/1969,35.46954,368226
1/1/1970,35.38879,372007
4/1/1970,34.67329,370094
7/1/1970,34.86717,378678
10/1/1970,35.74822,389158
1/1/1971,34.50345,391668
4/1/1971,34.36089,397305
7/1/1971,35.00694,412268
10/1/1971,35.63237,424131
1/1/1972,34.72622,427344
4/1/1972,33.67383,426435
7/1/1972,33.62447,433946
10/1/1972,33.74758,448473
1/1/1973,33.29287,458606
4/1/1973,32.34466,457317
7/1/1973,32.12455,460614
10/1/1973,31.77379,469073
1/1/1974,31.76449,473675
4/1/1974,30.99462,474235
7/1/1974,30.86269,481466
10/1/1974,30.79768,492664
1/1/1975,31.53604,509659
4/1/1975,32.27817,533188
7/1/1975,32.38043,553647
10/1/1975,32.7301,576649
1/1/1976,32.98513,600490
4/1/1976,33.49464,620432
7/1/1976,33.64333,634701
10/1/1976,33.78753,653543
1/1/1977,33.65136,669207
4/1/1977,32.80422,674425
7/1/1977,32.98791,698840
10/1/1977,33.21873,718943
1/1/1978,33.5012,737951
4/1/1978,32.12444,749024
7/1/1978,32.21407,771544
10/1/1978,31.86206,789207
1/1/1979,31.53601,796792
4/1/1979,31.06277,804913
7/1/1979,30.98402,826519
10/1/1979,31.02615,845116
1/1/1980,30.94982,863451
4/1/1980,31.37303,877614
7/1/1980,31.77687,907701
10/1/1980,31.157,930210
1/1/1981,30.87284,964531
4/1/1981,30.70875,971174
7/1/1981,30.60333,997855
10/1/1981,31.35587,1028729
1/1/1982,32.41298,1061299
4/1/1982,32.40213,1079630
7/1/1982,33.9253,1142035
10/1/1982,35.18156,1197074
1/1/1983,35.82911,1244493
4/1/1983,36.87167,1319581
7/1/1983,37.3311,1377211
10/1/1983,37.17553,1410702
1/1/1984,37.45447,1463741
4/1/1984,37.72687,1512697
7/1/1984,38.49586,1572267
