"Last updated May 5, 2020",,,,,,,,,
Table 1. U.S. International Trade in Goods and Services,,,,,,,,,
"Exports, Imports, and Balances",,,,,,,,,
"[Millions of dollars, months seasonally adjusted]",,,,,,,,,
Details may not equal totals due to seasonal adjustment and rounding.  ,,,,,,,,,
,,,,,,,,,
Period,,Balance,,,Exports,,, Imports,
,Total,Goods 1,Services,Total,Goods 1,Services,Total,Goods 1,Services
Annual,,,,,,,,,
1960,3508,4892,-1385,25939,19650,6289,22433,14758,7675
1961,4194,5571,-1377,26403,20108,6295,22208,14537,7671
1962,3371,4521,-1151,27722,20781,6941,24352,16260,8092
1963,4210,5224,-1014,29620,22272,7348,25411,17048,8363
1964,6022,6801,-780,33340,25501,7839,27319,18700,8619
1965,4664,4951,-287,35285,26461,8824,30621,21510,9111
1966,2939,3817,-878,38926,29310,9616,35987,25493,10494
1967,2604,3800,-1196,41333,30666,10667,38729,26866,11863
1968,250,635,-385,45544,33626,11918,45292,32991,12301
1969,90,607,-517,49220,36414,12806,49130,35807,13323
1970,2255,2603,-348,56640,42469,14171,54385,39866,14519
1971,-1301,-2260,959,59677,43319,16358,60980,45579,15401
1972,-5443,-6416,973,67223,49381,17842,72664,55797,16867
1973,1900,911,989,91242,71410,19832,89342,70499,18843
1974,-4293,-5505,1212,120897,98306,22591,125189,103811,21378
1975,12403,8903,3500,132585,107088,25497,120181,98185,21996
1976,-6082,-9483,3402,142716,114745,27971,148798,124228,24570
1977,-27247,-31091,3845,152302,120816,31486,179547,151907,27640
1978,-29763,-33927,4164,178428,142075,36353,208191,176002,32189
1979,-24566,-27568,3003,224132,184439,39693,248696,212007,36689
1980,-19407,-25500,6093,271835,224250,47585,291242,249750,41492
1981,-16172,-28023,11851,294399,237044,57355,310570,265067,45503
1982,-24156,-36485,12330,275235,211157,64078,299392,247642,51750
1983,-57767,-67102,9335,266106,201799,64307,323874,268901,54973
1984,-109074,-112492,3418,291094,219926,71168,400166,332418,67748
1985,-121879,-122173,294,289071,215915,73156,410951,338088,72863
1986,-138539,-145081,6543,310034,223344,86690,448572,368425,80147
1987,-151683,-159557,7874,348869,250208,98661,500553,409765,90788
1988,-114566,-126959,12394,431150,320230,110920,545714,447189,98525
1989,-93142,-117749,24607,487003,359916,127087,580145,477665,102480
