;params;training score;validation score
0;{'n_estimators': 1000, 'max_features': 1, 'min_samples_leaf': 1};0.9270630758401415;-2.711504332437204
1;{'n_estimators': 1000, 'max_features': 1, 'min_samples_leaf': 2};0.7680728863624438;-2.7065561253823414
2;{'n_estimators': 1000, 'max_features': 1, 'min_samples_leaf': 3};0.6566962830893384;-2.8617546110003067
3;{'n_estimators': 1000, 'max_features': 1, 'min_samples_leaf': 4};0.5680074851341308;-2.99095314037714
4;{'n_estimators': 1000, 'max_features': 1, 'min_samples_leaf': 5};0.4954480093918809;-3.0095581211768168
5;{'n_estimators': 1000, 'max_features': 1, 'min_samples_leaf': 6};0.4337037647402558;-3.0476836356927164
6;{'n_estimators': 1000, 'max_features': 2, 'min_samples_leaf': 1};0.9358744967763378;-2.9954503167925295
7;{'n_estimators': 1000, 'max_features': 2, 'min_samples_leaf': 2};0.8378726857583132;-2.6623957214872345
8;{'n_estimators': 1000, 'max_features': 2, 'min_samples_leaf': 3};0.7459289472941815;-3.0145714742819893
9;{'n_estimators': 1000, 'max_features': 2, 'min_samples_leaf': 4};0.6672796883680602;-2.803783654567957
10;{'n_estimators': 1000, 'max_features': 2, 'min_samples_leaf': 5};0.6005302253489112;-3.224888334717177
11;{'n_estimators': 1000, 'max_features': 2, 'min_samples_leaf': 6};0.5397940110329168;-3.1801864517966756
12;{'n_estimators': 1000, 'max_features': 3, 'min_samples_leaf': 1};0.9417818284261947;-2.7913411358665265
13;{'n_estimators': 1000, 'max_features': 3, 'min_samples_leaf': 2};0.8717656130853833;-2.802770605908007
14;{'n_estimators': 1000, 'max_features': 3, 'min_samples_leaf': 3};0.7942876670076702;-3.1289344540207127
15;{'n_estimators': 1000, 'max_features': 3, 'min_samples_leaf': 4};0.7272113068025418;-3.1653193849225723
16;{'n_estimators': 1000, 'max_features': 3, 'min_samples_leaf': 5};0.6667969241072222;-3.2155312657143447
17;{'n_estimators': 1000, 'max_features': 3, 'min_samples_leaf': 6};0.6064795093545429;-3.3610913251889847
18;{'n_estimators': 1000, 'max_features': 4, 'min_samples_leaf': 1};0.9474659624041827;-2.7082904440980746
19;{'n_estimators': 1000, 'max_features': 4, 'min_samples_leaf': 2};0.8918695656445577;-2.556745068976091
20;{'n_estimators': 1000, 'max_features': 4, 'min_samples_leaf': 3};0.8263971030299745;-2.4672607360573577
21;{'n_estimators': 1000, 'max_features': 4, 'min_samples_leaf': 4};0.7652633533969412;-2.8425377739739237
22;{'n_estimators': 1000, 'max_features': 4, 'min_samples_leaf': 5};0.7100511379110539;-2.9772253758039757
23;{'n_estimators': 1000, 'max_features': 4, 'min_samples_leaf': 6};0.6521006018307711;-2.9917855429334153
24;{'n_estimators': 1000, 'max_features': 5, 'min_samples_leaf': 1};0.9512953122665813;-2.280957418292036
25;{'n_estimators': 1000, 'max_features': 5, 'min_samples_leaf': 2};0.9057933517931381;-2.0908737699061986
26;{'n_estimators': 1000, 'max_features': 5, 'min_samples_leaf': 3};0.8459516670478896;-2.3429038049651476
27;{'n_estimators': 1000, 'max_features': 5, 'min_samples_leaf': 4};0.7894879251279272;-2.5982357230442212
28;{'n_estimators': 1000, 'max_features': 5, 'min_samples_leaf': 5};0.7339421036972414;-2.693867428891241
29;{'n_estimators': 1000, 'max_features': 5, 'min_samples_leaf': 6};0.680125745698243;-2.745963402313432
30;{'n_estimators': 1000, 'max_features': 6, 'min_samples_leaf': 1};0.9543305836011639;-2.1645736006251175
31;{'n_estimators': 1000, 'max_features': 6, 'min_samples_leaf': 2};0.9151808589117802;-2.1311353033972273
32;{'n_estimators': 1000, 'max_features': 6, 'min_samples_leaf': 3};0.8631603522122144;-2.3112625126103774
33;{'n_estimators': 1000, 'max_features': 6, 'min_samples_leaf': 4};0.8092299925150519;-2.403980266166583
34;{'n_estimators': 1000, 'max_features': 6, 'min_samples_leaf': 5};0.7594637387697591;-2.567809273851404
35;{'n_estimators': 1000, 'max_features': 6, 'min_samples_leaf': 6};0.708542548628261;-2.674892852921295
36;{'n_estimators': 1000, 'max_features': 7, 'min_samples_leaf': 1};0.9560146444658036;-1.9791940676430275
37;{'n_estimators': 1000, 'max_features': 7, 'min_samples_leaf': 2};0.921375759753639;-1.764441882204094
38;{'n_estimators': 1000, 'max_features': 7, 'min_samples_leaf': 3};0.8734636148272401;-1.843423327803406
39;{'n_estimators': 1000, 'max_features': 7, 'min_samples_leaf': 4};0.8243288503152562;-1.9895237624876145
40;{'n_estimators': 1000, 'max_features': 7, 'min_samples_leaf': 5};0.7756047971247371;-2.2463786226234017
41;{'n_estimators': 1000, 'max_features': 7, 'min_samples_leaf': 6};0.7254516436934113;-2.3880295449420794
42;{'n_estimators': 1000, 'max_features': 8, 'min_samples_leaf': 1};0.9591700316963785;-1.7491696777149515
43;{'n_estimators': 1000, 'max_features': 8, 'min_samples_leaf': 2};0.9278490791118589;-1.8285667013388498
44;{'n_estimators': 1000, 'max_features': 8, 'min_samples_leaf': 3};0.8833807120662932;-1.912516306418571
45;{'n_estimators': 1000, 'max_features': 8, 'min_samples_leaf': 4};0.8371771212112146;-2.0054130032227278
